epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5099.15,1.31838,0.56643,1.10792,0.94621,0.90629,0.94802,0.51927,1.44648,0.53492,1.25907,0.00056678,0.00056678,0.00056678
82,5153.87,1.33173,0.55965,1.11706,0.94657,0.90132,0.94964,0.52026,1.49667,0.54025,1.29394,0.000553027,0.000553027,0.000553027
83,5208.21,1.33676,0.57009,1.11307,0.94903,0.89918,0.94777,0.52271,1.39204,0.52266,1.22465,0.000539275,0.000539275,0.000539275
84,5262.56,1.30926,0.55786,1.10619,0.94822,0.89562,0.94283,0.52267,1.43103,0.5237,1.25216,0.000525522,0.000525522,0.000525522
85,5316.86,1.32178,0.55632,1.10129,0.96148,0.8934,0.94964,0.5173,1.4323,0.52651,1.2471,0.000511769,0.000511769,0.000511769
86,5371.23,1.32545,0.55602,1.09496,0.93946,0.90055,0.94046,0.51499,1.45002,0.52547,1.26473,0.000498016,0.000498016,0.000498016
87,5425.57,1.29316,0.54776,1.09869,0.94269,0.89652,0.94349,0.50575,1.50762,0.53791,1.29487,0.000484263,0.000484263,0.000484263
88,5479.89,1.3014,0.54668,1.09582,0.94112,0.90672,0.94816,0.51421,1.45197,0.5218,1.26936,0.000470511,0.000470511,0.000470511
89,5534.24,1.2925,0.54349,1.09151,0.94028,0.89494,0.942,0.51462,1.45346,0.52436,1.27006,0.000456758,0.000456758,0.000456758
90,5588.55,1.31359,0.55368,1.11408,0.9374,0.90288,0.94708,0.50321,1.489,0.52986,1.29233,0.000443005,0.000443005,0.000443005
91,5642.9,1.31025,0.55501,1.10671,0.94462,0.90563,0.94751,0.52533,1.39658,0.5067,1.23641,0.000429253,0.000429253,0.000429253
92,5698.49,1.30266,0.54924,1.0996,0.95425,0.89999,0.95109,0.53338,1.44085,0.51417,1.26677,0.0004155,0.0004155,0.0004155
93,5752.84,1.29099,0.53616,1.09713,0.92129,0.91477,0.94633,0.51753,1.4746,0.5228,1.27428,0.000401747,0.000401747,0.000401747
94,5807.21,1.29069,0.54263,1.08925,0.95686,0.87537,0.93635,0.51241,1.44268,0.51686,1.26173,0.000387994,0.000387994,0.000387994
95,5861.86,1.28257,0.53737,1.09597,0.94736,0.89249,0.94513,0.5163,1.45719,0.51841,1.27403,0.000374242,0.000374242,0.000374242
96,5916.18,1.29404,0.54238,1.09672,0.94678,0.89016,0.94175,0.50339,1.48924,0.52721,1.2952,0.000360489,0.000360489,0.000360489
97,5970.57,1.28284,0.53732,1.08546,0.94774,0.89891,0.94483,0.52368,1.43023,0.50773,1.25029,0.000346736,0.000346736,0.000346736
98,6024.94,1.28547,0.53463,1.08503,0.92244,0.91568,0.94625,0.52005,1.44117,0.51363,1.26456,0.000332983,0.000332983,0.000332983
99,6079.29,1.26419,0.52836,1.08145,0.93354,0.90253,0.9429,0.52149,1.42904,0.50958,1.25421,0.000319231,0.000319231,0.000319231
100,6133.67,1.23675,0.51486,1.08113,0.9389,0.90911,0.94648,0.51647,1.46956,0.51958,1.28222,0.000305478,0.000305478,0.000305478
101,6188.07,1.25378,0.5234,1.07845,0.94997,0.88114,0.94184,0.52641,1.44595,0.51455,1.2681,0.000291725,0.000291725,0.000291725
102,6242.4,1.24811,0.52478,1.07959,0.95021,0.8909,0.94931,0.52237,1.46394,0.52169,1.27497,0.000277972,0.000277972,0.000277972
103,6296.82,1.24137,0.51974,1.07183,0.96155,0.88305,0.94522,0.52008,1.44839,0.51826,1.26791,0.00026422,0.00026422,0.00026422
104,6351.13,1.23472,0.51242,1.06918,0.93693,0.91488,0.95096,0.52415,1.44699,0.51425,1.26781,0.000250467,0.000250467,0.000250467
105,6405.45,1.24935,0.52768,1.07651,0.94025,0.90304,0.94966,0.51732,1.43452,0.51422,1.2629,0.000236714,0.000236714,0.000236714
106,6459.78,1.25232,0.52461,1.06879,0.93738,0.92059,0.94981,0.51806,1.4385,0.51433,1.263,0.000222961,0.000222961,0.000222961
107,6514.18,1.24764,0.52338,1.08372,0.93974,0.90112,0.94362,0.51749,1.45342,0.51363,1.26942,0.000209209,0.000209209,0.000209209
108,6568.49,1.24075,0.51917,1.06863,0.95342,0.8981,0.94884,0.51678,1.47134,0.52193,1.28658,0.000195456,0.000195456,0.000195456
109,6622.82,1.2248,0.50965,1.0713,0.96406,0.89518,0.94995,0.52763,1.43943,0.50785,1.26524,0.000181703,0.000181703,0.000181703
110,6677.14,1.22205,0.51067,1.07287,0.96098,0.8866,0.94313,0.51949,1.45794,0.51329,1.27897,0.00016795,0.00016795,0.00016795
111,6748.54,1.20832,0.46979,1.1149,0.96098,0.88515,0.94154,0.51195,1.49135,0.52248,1.2924,0.000154198,0.000154198,0.000154198
112,6802.78,1.20698,0.46599,1.11171,0.93836,0.902,0.9479,0.52273,1.45163,0.51121,1.27548,0.000140445,0.000140445,0.000140445
113,6857,1.2043,0.46609,1.11032,0.93266,0.90896,0.94689,0.51496,1.5004,0.51885,1.30541,0.000126692,0.000126692,0.000126692
114,6911.21,1.18991,0.45787,1.10903,0.95015,0.88572,0.94389,0.52229,1.45681,0.51312,1.2776,0.000112939,0.000112939,0.000112939
115,6966.01,1.20174,0.46083,1.11132,0.94115,0.90651,0.94699,0.51363,1.47219,0.51505,1.28815,9.91865e-05,9.91865e-05,9.91865e-05
116,7020.21,1.18639,0.45658,1.10465,0.93365,0.91192,0.94771,0.5193,1.47048,0.51223,1.28806,8.54337e-05,8.54337e-05,8.54337e-05
117,7074.43,1.18865,0.45856,1.10627,0.93008,0.91903,0.94903,0.51835,1.46772,0.51145,1.28718,7.1681e-05,7.1681e-05,7.1681e-05
118,7128.66,1.17413,0.4532,1.10064,0.93344,0.91932,0.94725,0.51557,1.47069,0.51362,1.29021,5.79283e-05,5.79283e-05,5.79283e-05
119,7182.89,1.17825,0.45523,1.09956,0.9335,0.92125,0.94738,0.51278,1.48598,0.5168,1.29968,4.41755e-05,4.41755e-05,4.41755e-05
120,7237.1,1.17821,0.45394,1.10287,0.93241,0.91785,0.94615,0.51705,1.4699,0.51222,1.28846,3.04227e-05,3.04227e-05,3.04227e-05
